,date,일누적 자외선 A(MJ/m2),일최대 자외선 B(W/m2 ),평균 오존전량(DU),미세머지_10,미세머지_11,미세머지_12,미세머지_13,미세머지_14,운량_10,운량_11,운량_12,운량_13,운량_14,총자외선지수 일최고값
162,2012-06-11,0.69,0.156,-999.0,21.0,21.0,40.0,29.0,26.0,8.0,8.0,8.0,8.0,10.0,7.3
163,2012-06-12,1.37,0.218,-999.0,29.0,33.0,-999.0,24.0,21.0,1.0,1.0,3.0,3.0,5.0,10.1
164,2012-06-13,1.36,0.211,-999.0,32.0,19.0,27.0,29.0,29.0,1.0,2.0,3.0,2.0,1.0,9.8
165,2012-06-14,1.33,0.206,-999.0,32.0,37.0,38.0,41.0,48.0,4.0,0.0,0.0,0.0,1.0,9.6
166,2012-06-15,0.91,0.185,-999.0,28.0,23.0,30.0,27.0,41.0,7.0,8.0,8.0,8.0,8.0,8.4
167,2012-06-16,1.27,0.244,-999.0,19.0,25.0,24.0,22.0,24.0,1.0,1.0,1.0,6.0,6.0,11.4
168,2012-06-17,1.11,0.231,-999.0,62.0,54.0,55.0,52.0,53.0,2.0,3.0,3.0,3.0,3.0,10.6
169,2012-06-18,-999.0,0.222,-999.0,26.0,32.0,17.0,22.0,24.0,7.0,6.0,6.0,7.0,7.0,-999.0
170,2012-06-19,1.34,0.205,-999.0,25.0,37.0,29.0,31.0,38.0,0.0,0.0,0.0,1.0,2.0,9.6
171,2012-06-20,1.25,0.205,-999.0,31.0,19.0,24.0,20.0,26.0,0.0,0.0,0.0,0.0,0.0,9.5
172,2012-06-21,1.25,0.204,-999.0,29.0,30.0,28.0,27.0,28.0,3.0,3.0,3.0,3.0,0.0,9.5
173,2012-06-22,1.04,0.146,-999.0,20.0,15.0,9.0,12.0,6.0,0.0,0.0,0.0,0.0,6.0,6.8
174,2012-06-23,1.16,0.181,-999.0,25.0,21.0,24.0,24.0,19.0,0.0,0.0,0.0,0.0,4.0,8.4
175,2012-06-24,0.7,0.111,-999.0,52.0,56.0,57.0,65.0,58.0,10.0,10.0,10.0,10.0,10.0,5.1
176,2012-06-25,1.42,0.229,-999.0,20.0,22.0,24.0,50.0,31.0,0.0,0.0,0.0,0.0,0.0,10.5
177,2012-06-26,1.3,0.229,-999.0,15.0,16.0,10.0,19.0,12.0,7.0,7.0,7.0,6.0,6.0,10.5
